run_dir,model,split,ckpt_name,checkpoint,tile,overlap,infer,samples,metrics,completeness,ds_protocol,psnr_mean,psnr_std,ssim_mean,ssim_std,q2n_mean,q2n_std,sam_deg_mean,sam_deg_std,ergas_mean,ergas_std,d_lambda_mean,d_lambda_std,d_s_mean,d_s_std,qnr_mean,qnr_std,source_json
compare_wv3_fm_official/fusion_mamba_420/test,fusion_mamba,test,420.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/420.ckpt,1024,0,full image (tile=1024 is a no-op on 64×64 LR / 256 PAN),20,"psnr,q2n,sam_rad,sam_deg,ergas",full RR,n/a,39.34342957,2.818302761,,,0.9191638347,0.08137988728,2.816299248,0.5229164983,2.079466128,0.4580091972,,,,,,,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fm_official/fusion_mamba_420/test/metrics.json
compare_wv3_fm_official/fusion_mamba_420/test_hard,fusion_mamba,test_hard,420.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/420.ckpt,64,0,official FR cut: LR tile=64 overlap=0 (PAN 256),20,"d_lambda,d_s,qnr",full FR,toolbox MATLAB imresize (paper-matching),,,,,,,,,,,0.01656021067,0.005664260296,0.02703275628,0.005876638719,0.9568835157,0.01095189619,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fm_official/fusion_mamba_420/test_hard/metrics.json
compare_wv3_fm_official/fusion_mamba_last/test,fusion_mamba,test,last.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/last.ckpt,1024,0,full image (tile=1024 is a no-op on 64×64 LR / 256 PAN),20,"psnr,q2n,sam_rad,sam_deg,ergas",full RR,n/a,39.28912678,2.816561879,,,0.9182348562,0.08166713551,2.827727759,0.5220678915,2.090975213,0.4554221692,,,,,,,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fm_official/fusion_mamba_last/test/metrics.json
compare_wv3_fm_official/fusion_mamba_last/test_hard,fusion_mamba,test_hard,last.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/last.ckpt,64,0,official FR cut: LR tile=64 overlap=0 (PAN 256),20,"d_lambda,d_s,qnr",full FR,toolbox MATLAB imresize (paper-matching),,,,,,,,,,,0.01888480259,0.004804536564,0.03387795604,0.003183846552,0.9478883215,0.007327739011,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fm_official/fusion_mamba_last/test_hard/metrics.json
compare_wv3_fullimage/fusion_mamba/test,fusion_mamba,test,last.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/last.ckpt,1024,0,full image (tile=1024 is a no-op on 64×64 LR / 256 PAN),20,"psnr,q2n,sam_rad,sam_deg,ergas",full RR,n/a,39.28912678,2.816561879,,,0.9182348562,0.08166713551,2.827727759,0.5220679323,2.090975225,0.455422157,,,,,,,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fullimage/fusion_mamba/test/metrics.json
compare_wv3_fullimage/fusion_mamba/test_hard,fusion_mamba,test_hard,last.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/last.ckpt,1024,0,"attempted full image on OrigScale (tile=1024, overlap=0)",20,"d_lambda,d_s,qnr",full FR,torch bicubic Ds (NOT paper protocol; Ds inflated),,,,,,,,,,,0.01855335024,0.004894369483,0.06638759279,0.03260613975,0.9163965555,0.0350386966,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fullimage/fusion_mamba/test_hard/metrics.json
compare_wv3_fullimage/fusion_mamba_420/test,fusion_mamba,test,420.ckpt,/home/zhy/PROJECT/RefRWKV/weights/fusion_mamba/420.ckpt,1024,0,full image (tile=1024 is a no-op on 64×64 LR / 256 PAN),20,"psnr,q2n,sam_rad,sam_deg,ergas",full RR,n/a,39.34342957,2.818302761,,,0.9191638347,0.08137988728,2.816299248,0.5229164983,2.079466128,0.4580091972,,,,,,,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fullimage/fusion_mamba_420/test/metrics.json
compare_wv3_fullimage/fusion_mamba_420/test_hard,fusion_mamba,test_hard,420.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/420.ckpt,64,0,official FR cut: LR tile=64 overlap=0 (PAN 256),20,"d_lambda,d_s,qnr",full FR,torch bicubic Ds (NOT paper protocol; Ds inflated),,,,,,,,,,,0.01656021067,0.005664260296,0.07403410407,0.03528011121,0.9107827118,0.03856593689,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fullimage/fusion_mamba_420/test_hard/metrics.json
compare_wv3_fullimage/fusion_mamba_420_qnr_toolbox/test_hard,fusion_mamba,test_hard,420.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/420.ckpt,64,0,official FR cut: LR tile=64 overlap=0 (PAN 256),20,"d_lambda,d_s,qnr",full FR,toolbox MATLAB imresize (paper-matching),,,,,,,,,,,0.01656021067,0.005664260296,0.02703275628,0.005876638719,0.9568835157,0.01095189619,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_fullimage/fusion_mamba_420_qnr_toolbox/test_hard/metrics.json
compare_wv3_official/fusion_mamba/test,fusion_mamba,test,last.ckpt,/home/zhy/PROJECT/RefRWKV/experiments/train/refsr/fusion_mamba/pancollection_wv3/x4/fusion_mamba_pancollection_wv3_official/checkpoints/last.ckpt,16,8,"RDM-style tiles: LR tile=16 overlap=8 (PAN 64, 49 tiles on 256)",20,"psnr,q2n,sam_rad,sam_deg,ergas",full RR,n/a,39.33989944,2.850653524,,,0.9188158021,0.08156268514,2.793575001,0.5198239628,2.072718,0.4412603044,,,,,,,/home/zhy/PROJECT/RefRWKV/experiments/test/refsr/compare_wv3_official/fusion_mamba/test/metrics.json
